YEAR,Butte,Imperial,Los Angeles,Orange,Placer,San Diego,San Francisco,Shasta
2002,47,50,724,191,45,309,39,37
2003,29,45,812,213,41,295,52,34
2004,34,57,753,212,33,299,43,37
2005,35,48,750,203,44,309,33,38
2006,34,42,799,208,40,303,42,23
2007,37,42,765,194,28,292,53,25
2008,32,46,711,163,29,263,35,21
2013,21,28,625,186,21,198,35,24
2014,24,46,639,173,13,233,33,22
2015,33,28,651,183,21,246,38,40
2016,36,34,837,204,40,243,36,26
2017,40,25,751,210,30,240,25,30
2018,36,37,733,206,29,267,27,32
2019,34,32,716,182,24,253,39,35
